"CardID","Img0","Img1","Name","Rareness","Jump","Type","Rate","Duration"
58,"./img/058.jpg","./img/058_ido.jpg","园田海未","SR","10","S","36","3"
59,"./img/059.jpg","./img/059_ido.jpg","星空凛","SR","20","N","36","3"
61,"./img/061.jpg","./img/061_ido.jpg","东条希","SR","17","S","36","3"
73,"./img/073.jpg","./img/073_ido.jpg","园田海未","UR","9","S","36","5"
79,"./img/079.jpg","./img/079_ido.jpg","高坂穗乃果","UR","30","N","36","5.5"
88,"./img/088.jpg","./img/088_ido.jpg","南小鸟","UR","17","S","36","9"
92,"./img/092.jpg","./img/092_ido.jpg","南小鸟","SR","35","N","45","4"
99,"./img/099.jpg","./img/099_ido.jpg","西木野真姫","SR","32","N","36","5"
100,"./img/100.jpg","./img/100_ido.jpg","矢泽妮可","SR","13","S","18","7.5"
103,"./img/103.jpg","./img/103_ido.jpg","绚濑绘里","SR","28","N","42","3.5"
122,"./img/122.jpg","./img/122_ido.jpg","高坂穗乃果","SR","20","N","40","2.5"
123,"./img/123.jpg","./img/123_ido.jpg","绚濑绘里","SR","22","N","27","4"
125,"./img/125.jpg","./img/125_ido.jpg","星空凛","SR","27","N","35","4.5"
127,"./img/127.jpg","./img/127_ido.jpg","矢泽妮可","UR","25","N","36","4.5"
133,"./img/133.jpg","./img/133_ido.jpg","小泉花阳","SR","10","S","18","5"
134,"./img/134.jpg","./img/134_ido.jpg","东条希","UR","23","N","37","4"
143,"./img/143.jpg","./img/143_ido.jpg","西木野真姬","SR","24","N","24","5"
150,"./img/150.jpg","./img/150_ido.jpg","东条希","SR","15","S","39","4"
153,"./img/153.jpg","./img/153_ido.jpg","小泉花阳","SR","26","N","28","5"
157,"./img/157.jpg","./img/157_ido.jpg","星空凛","SR","29","N","30","5"
161,"./img/161.jpg","./img/161_ido.jpg","绚濑绘里","SR","28","N","32","4.5"
170,"./img/170.jpg","./img/170_ido.jpg","西木野真姬","SR","23","N","38","3"
174,"./img/174.jpg","./img/174_ido.jpg","绚濑绘里","SR","14","S","35","4"
176,"./img/176.jpg","./img/176_ido.jpg","高坂穗乃果","SR","18","S","40","4.5"
184,"./img/184.jpg","./img/184_ido.jpg","园田海未","SR","31","N","35","4.5"
189,"./img/189.jpg","./img/189_ido.jpg","高坂穗乃果","SR","30","N","43","3.5"
196,"./img/196.jpg","./img/196_ido.jpg","绚濑绘里","UR","27","N","42","4"
201,"./img/201.jpg","./img/201_ido.jpg","南小鸟","SR","30","N","41","3.5"
202,"./img/202.jpg","./img/202_ido.jpg","小泉花阳","SR","11","S","40","2.5"
212,"./img/212.jpg","./img/212_ido.jpg","东条希","SR","27","N","37","3.5"
213,"./img/213.jpg","./img/213_ido.jpg","矢泽妮可","SR","22","N","43","2.5"
220,"./img/220.jpg","./img/220_ido.jpg","西木野真姬","SR","8","S","21","4"
246,"./img/246.jpg","./img/246_ido.jpg","园田海未","SR","24","N","47","2.5"
255,"./img/255.jpg","./img/255_ido.jpg","南小鸟","SR","13","S","41","3"
257,"./img/257.jpg","./img/257_ido.jpg","西木野真姬","UR","11","S","37","5.5"
264,"./img/264.jpg","./img/264_ido.jpg","东条希","SR","26","N","32","4"
265,"./img/265.jpg","./img/265_ido.jpg","小泉花阳","UR","17","N","36","3"
272,"./img/272.jpg","./img/272_ido.jpg","星空凛","UR","13","S","44","6"
